GEO_ID,DATA_VALUE
1000000US060377015021003,40
1000000US060377015021004,76
1000000US060377015021005,69
1000000US060377015021006,0
1000000US060377015021007,0
1000000US060377015021008,130
1000000US060377015021009,85
1000000US060377023003000,8
1000000US060377023003001,54
1000000US060377023003002,54
1000000US060377023003003,65
1000000US060377023003004,59
1000000US060377023003005,51
1000000US060377023003006,56
1000000US060377016012000,44
1000000US060377015021010,99
1000000US060377023003007,20
1000000US060377016012001,37
1000000US060377015021011,101
1000000US060377023003008,64
1000000US060377016012002,46
1000000US060377015021012,60
1000000US060377023003009,61
1000000US060377016012003,119
1000000US060377015021013,103
1000000US060377016012004,70
1000000US060377015021014,207
1000000US060377016012005,53
1000000US060377016012006,39
1000000US060377016012007,47
1000000US060377016012008,41
1000000US060377016012009,61
1000000US060377023003010,23
1000000US060377012015000,70
1000000US060377023003011,52
1000000US060377022024000,30
1000000US060377012015001,41
1000000US060377023003012,34
1000000US060377022024001,25
1000000US060377012015002,32
1000000US060377023003013,36
1000000US060377022024002,33
1000000US060377012015003,31
1000000US060377023003014,43
1000000US060377022024003,28
1000000US060377012015004,28
1000000US060377023003015,22
1000000US060377022024004,33
1000000US060377012015005,31
1000000US060377023003016,33
1000000US060377022024005,39
1000000US060377016012010,38
1000000US060377012015006,35
1000000US060377023003017,26
1000000US060377022024006,29
1000000US060377016012011,17
1000000US060377012015007,26
1000000US060377023003018,95
1000000US060377022024007,119
1000000US060377016012012,19
1000000US060377012015008,29
1000000US060377023003019,82
1000000US060377022024008,27
1000000US060377016012013,29
1000000US060377012015009,28
1000000US060377022024009,69
1000000US060377016012014,35
1000000US060377016012015,135
1000000US060377016012016,58
1000000US060377016012017,17
1000000US060377016012018,22
1000000US060377016012019,15
1000000US060377023003020,66
1000000US060377012015010,32
1000000US060377023003021,24
1000000US060377022024010,206
1000000US060377012015011,41
1000000US060377022024011,9
1000000US060377012015012,41
1000000US060377022024012,35
1000000US060377012015013,61
1000000US060377022024013,6
1000000US060377012015014,64
1000000US060377022024014,99
1000000US060377012015015,24
1000000US060377022024015,31
1000000US060377016012020,21
1000000US060377012015016,29
1000000US060377022024016,11
1000000US060377016012021,20
1000000US060377012015017,32
1000000US060377022024017,5
1000000US060377016012022,21
1000000US060377012015018,21
1000000US060377022024018,47
1000000US060377016012023,39
1000000US060377012015019,59
1000000US060377022024019,3
1000000US060377016012024,60
1000000US060377016012025,70
1000000US060377016012026,78
1000000US060377016012027,0
1000000US060377016012028,39
1000000US060377016012029,58
1000000US060377012015020,0
1000000US060377012015021,7
1000000US060377012015022,0
1000000US060377016012030,30
1000000US060377016012031,1
1000000US060377016012032,46
1000000US060377016012033,55
1000000US060377015011000,130
1000000US060377016012034,52
1000000US060377015011001,114
1000000US060377013041000,29
1000000US060377016012035,30
1000000US060377015011002,105
1000000US060377013041001,176
1000000US060377016012036,81
1000000US060377015011003,97
1000000US060377013041002,21
1000000US060377016012037,58
1000000US060377015011004,97
1000000US060377013041003,114
1000000US060377016012038,0
1000000US060377015011005,94
1000000US060377013041004,30
1000000US060377015011006,140
1000000US060377013041005,18
1000000US060377015011007,118
1000000US060377013041006,23
1000000US060377015011008,104
1000000US060377013041007,18
1000000US060377015011009,96
1000000US060377013041008,41
1000000US060377013041009,35
1000000US060377021023000,109
1000000US060377021023001,80
1000000US060377021023002,110
1000000US060377021023003,25
1000000US060377021023004,13
1000000US060377021023005,64
1000000US060377015011010,94
1000000US060377021023006,58
1000000US060377015011011,94
1000000US060377013041010,29
1000000US060377021023007,91
1000000US060377015011012,122
1000000US060377013041011,31
1000000US060377021023008,18
1000000US060377015011013,86
1000000US060377013041012,34
1000000US060377021023009,13
1000000US060377015011014,118
1000000US060377013041013,22
1000000US060377015011015,1
1000000US060377013041014,26
1000000US060377015011016,0
1000000US060377013041015,30
1000000US060377013041016,40
1000000US060377013041017,28
1000000US060377013041018,24
1000000US060377013041019,36
1000000US060377022014000,13
1000000US060377021023010,9
1000000US060377022014001,55
1000000US060377022014002,46
1000000US060377022014003,51
1000000US060377022014004,63
1000000US060377022014005,48
1000000US060377022014006,43
1000000US060377015023000,130
1000000US060377013041020,32
1000000US060377022014007,57
1000000US060377015023001,84
1000000US060377013041021,24
1000000US060377022014008,42
1000000US060377015023002,150
1000000US060377013041022,22
1000000US060377022014009,39
1000000US060377015023003,117
1000000US060377013041023,35
1000000US060377015023004,155
1000000US060377013041024,14
1000000US060377015023005,119
1000000US060377013041025,12
1000000US060377015023006,146
1000000US060377013041026,24
1000000US060377015023007,4
1000000US060377013041027,24
1000000US060377015023008,0
1000000US060377013041028,20
1000000US060377015023009,97
1000000US060377013041029,33
1000000US060377023005000,157
1000000US060377022014010,64
1000000US060377023005001,148
1000000US060377022014011,8
1000000US060377023005002,208
1000000US060377022014012,56
1000000US060377023005003,106
1000000US060377022014013,46
1000000US060377023005004,145
1000000US060377022014014,61
1000000US060377023005005,128
1000000US060377022014015,98
1000000US060377023005006,0
1000000US060377022014016,15
1000000US060377016014000,34
1000000US060377015023010,114
1000000US060377013041030,29
1000000US060377023005007,0
1000000US060377022014017,0
1000000US060377016014001,25
1000000US060377015023011,102
1000000US060377013041031,29
1000000US060377023005008,0
1000000US060377022014018,0
1000000US060377016014002,39
1000000US060377015023012,0
1000000US060377013041032,35
1000000US060377023005009,277
1000000US060377022014019,61
1000000US060377016014003,31
1000000US060377015023013,104
1000000US060377013041033,27
1000000US060377016014004,36
1000000US060377015023014,54
1000000US060377013041034,31
1000000US060377016014005,42
1000000US060377015023015,0
1000000US060377013041035,44
1000000US060377016014006,35
1000000US060377013041036,36
1000000US060377016014007,32
1000000US060377013041037,32
1000000US060377016014008,13
1000000US060377013041038,16
1000000US060377016014009,26
1000000US060377013041039,23
1000000US060377023005010,110
1000000US060377022014020,1
1000000US060377023005011,244
1000000US060377022014021,0
1000000US060377023005012,10
1000000US060377022014022,40
1000000US060377023005013,21
1000000US060377020022000,0
1000000US060377023005014,82
1000000US060377020022001,320
1000000US060377020022002,1
1000000US060377020022003,0
1000000US060377016014010,20
1000000US060377013041040,16
1000000US060377020022004,213
1000000US060377016014011,121
1000000US060377013041041,52
1000000US060377020022005,109
1000000US060377016014012,106
1000000US060377013041042,18
1000000US060377020022006,80
1000000US060377016014013,131
1000000US060377013041043,29
1000000US060377020022007,327
1000000US060377016014014,81
1000000US060377013041044,28
1000000US060377020022008,9
1000000US060377016014015,79
1000000US060377013041045,39
1000000US060377020022009,0
1000000US060377016014016,57
1000000US060377013041046,54
1000000US060377016014017,47
1000000US060377013041047,39
1000000US060377016014018,16
1000000US060377013041048,22
1000000US060377016014019,16
1000000US060377013041049,56
1000000US060377020022010,19
1000000US060377020022011,91
1000000US060377020022012,26
1000000US060377020022013,37
1000000US060377016014020,0
1000000US060377013041050,36
1000000US060377020022014,0
1000000US060377016014021,3
1000000US060377016014022,0
1000000US060377016014023,69
1000000US060377014022000,158
1000000US060377016014024,67
1000000US060377014022001,225
1000000US060377016014025,0
1000000US060377014022002,233
1000000US060377014022003,209
1000000US060377014022004,144
1000000US060377014022005,251
1000000US060377014022006,197
1000000US060377014022007,208
1000000US060372731001001,0
1000000US060377014022008,235
1000000US060377014022009,249
1000000US060377015013000,195
1000000US060377014022010,113
1000000US060377015013001,171
1000000US060377014022011,105
1000000US060377013043000,374
1000000US060377015013002,16
1000000US060377013043001,0
1000000US060377015013003,93
1000000US060377013043002,319
1000000US060377015013004,78
1000000US060377013043003,0
1000000US060377015013005,165
1000000US060377013043004,297
1000000US060377015013006,164
1000000US060377013043005,46
1000000US060377015013007,153
1000000US060377013043006,51
1000000US060377015013008,167
1000000US060377013043007,76
1000000US060377015013009,121
1000000US060377013043008,48
1000000US060377013043009,46
1000000US060377021025000,40
1000000US060377021025001,42
1000000US060377021025002,14
1000000US060377021025003,54
1000000US060377021025004,68
1000000US060377021025005,69
1000000US060377015013010,147
1000000US060377021025006,6
1000000US060377015013011,115
1000000US060377013043010,53
1000000US060377021025007,0
1000000US060377015013012,109
1000000US060377013043011,47
1000000US060377021025008,81
1000000US060377015013013,121
1000000US060377013043012,50
1000000US060377021025009,4
1000000US060377015013014,151
1000000US060377013043013,368
1000000US060377015013015,170
1000000US060377013043014,84
1000000US060377013043015,100
1000000US060377019022000,3
1000000US060377013043016,0
1000000US060377019022001,15
1000000US060377013043017,0
1000000US060377019022002,25
1000000US060377013043018,26
1000000US060377019022003,0
1000000US060377013043019,66
1000000US060377019022004,47
1000000US060377019022005,56
1000000US060377019022006,7
1000000US060377019022007,137
1000000US060377019022008,18
1000000US060377019022009,326
1000000US060377021025010,125
1000000US060377021025011,171
1000000US060377013043020,172
