WKT	OBJECTID	Enabled	Subtype	COMPKEY	WATER_	ANGLE	ValveCompkey	HydrantID	ValveID	Group_	Sequence	COMPTYPE
"POINT (-118.51090314414057 34.023373045955012)"	1		0	44673	46	274.37557983	1019	4	1-14			12
"POINT (-118.49296299585883 34.008420489006923)"	2		0	44674	237	90.18917083	1048	10	4-251			12
"POINT (-118.49365166535951 34.0090796462421)"	3		0	44675	238	90.20389556	1049	11	4-249			12
"POINT (-118.49281831132436 34.009483361737637)"	4		0	44676	239	270.20388793	1050	12	4-234			12
"POINT (-118.49444882275284 34.009832472339838)"	5		0	44677	240	90	1051	13	4-247			12
"POINT (-118.49504875379357 34.010246700218183)"	6		0	44678	241	270	1052	14	4-296			12
"POINT (-118.49138441639232 34.008258854407813)"	7		0	44679	360	270.31829834	1065	16	4-233			12
"POINT (-118.492081330079 34.007559904611902)"	8		0	44680	361	90	1066	17	4-253			12
"POINT (-118.49164508723631 34.007440998773802)"	9		0	44681	362	0.143239	1067	18	4-301			12
"POINT (-118.49034799942079 34.007273305727132)"	10		0	44682	363	58.36157226	1068	19	4-227			12
"POINT (-118.49107628856848 34.006851257798914)"	11		0	44683	364	355.210083	1069	20	4-257			12
"POINT (-118.49039407284337 34.006203782612353)"	12		0	44684	365	175.1974945	1070	21	4-259			12
"POINT (-118.48968278842455 34.006710904592609)"	13		0	44685	366	175.97471618	1071	22	4-224			12
"POINT (-118.48875465430081 34.004507415214505)"	14		0	44687	367	85.61455535	1073	24	4-270			12
"POINT (-118.48724199627121 34.004349135435049)"	15		0	44688	368	355.94104003	1074	25	4-220			12
"POINT (-118.48796739649066 34.003727398992858)"	16		0	44689	369	85.84035491	1075	26	4-274			12
"POINT (-118.48812132688141 34.002814688977097)"	17		0	44691	370	352.88995361	1077	28	4-287			12
"POINT (-118.48734281845219 34.002433911720651)"	18		0	44692	371	352.14782714	1078	29	4-284			12
"POINT (-118.48605578752876 34.003292670965166)"	19		0	44693	372	355.69134521	1079	30	4-213			12
"POINT (-118.48553457417664 34.002777899965217)"	20		0	44694	373	355.49414062	1080	31	4-210			12
"POINT (-118.48511834232569 34.002363637030378)"	21		0	44695	374	175.81692504	1081	32	4-207			12
"POINT (-118.48675682642961 34.001783519885812)"	22		0	44696	375	3.29115509	1082	33	4-282			12
"POINT (-118.48636811733914 34.001388346574551)"	23		0	44697	376	353.05224609	1083	34	4-279			12
"POINT (-118.51165714772979 34.029680409930194)"	24		0	44698	759	3.73997688	1158	45	1-87			12
"POINT (-118.51132404461993 34.027781207922267)"	25		0	44699	760	181.72993469	1159	46	1-80			12
"POINT (-118.51007073786666 34.031291960275482)"	26		0	44700	761	183.63705444	1160	47	1-135			12
"POINT (-118.51041955198673 34.025165104510478)"	27		0	44701	895	281.25241088	1175	48	1-53			12
"POINT (-118.50350909731071 34.022713533616418)"	28		0	44702	896	270.19131469	1176	49	2-57			12
"POINT (-118.50253039773044 34.023543893795015)"	29		0	44703	897	89.61835479	1177	50	2-69			12
"POINT (-118.50156180800005 34.024291239920977)"	30		0	44704	898	89.61643218	1178	51	2-81			12
"POINT (-118.50246482791414 34.02093438103946)"	31		0	44705	1464	359.92837524	1241	54	2-55			12
"POINT (-118.50208077133712 34.021499047376821)"	32		0	44706	1465	269.80947876	1242	55	2-59A			12
"POINT (-118.50058016916837 34.022463089817386)"	33		0	44708	1466	359.85818481	1244	57	2-80			12
"POINT (-118.49962834091896 34.023228464154791)"	34		0	44709	1467	0.298413	1245	58	2-86			12
"POINT (-118.49877124505441 34.021254827956291)"	35		0	44710	1468	0	1246	59	2-85			12
"POINT (-118.49970802246439 34.020480634944747)"	36		0	44711	1469	0.07162	1247	60	2-75			12
"POINT (-118.50065585925731 34.019716602408636)"	37		0	44712	1470	0.04758799	1248	61	2-62			12
"POINT (-118.50174812543894 34.018784521866998)"	38		0	44713	1471	359.784729	1249	62	2-42			12
"POINT (-118.50145570498545 34.019380085286336)"	39		0	44714	1472	270.69131469	1250	63	2-51			12
"POINT (-118.50342295635288 34.018906140981002)"	40		0	44715	1473	90	1251	64	2-25B			12
"POINT (-118.50121081513151 34.017014677548055)"	41		0	44716	1474	89.81961059	1252	65	2-21			12
"POINT (-118.50086456976221 34.016641783910877)"	42		0	44717	1475	90	1253	66	2-19			12
"POINT (-118.5005132601225 34.017153266804051)"	43		0	44718	1476	0	1254	67	2-158			12
"POINT (-118.50015623714846 34.017411632460394)"	44		0	44719	1477	269.44577026	1255	68	2-159			12
"POINT (-118.50039654765887 34.017621836449557)"	45		0	44720	1478	180.22557067	1256	69	2-154			12
"POINT (-118.49948340139917 34.016834569348923)"	46		0	44721	1479	269.44577026	1257	70	3-80			12
"POINT (-118.49944708693398 34.018390882990794)"	47		0	44722	1480	180.26281738	1258	71	2-150			12
"POINT (-118.49920501705286 34.018170736379027)"	48		0	44723	1481	269.80838012	1259	72	2-161			12
"POINT (-118.49850928100609 34.019163513555569)"	49		0	44725	1482	180	1261	74	2-146			12
"POINT (-118.49755845225512 34.019892677359607)"	50		0	44726	1483	180.14181518	1262	75	2-137			12
