WKT	OBJECTID_1	OBJECTID	LOCATIONID	DATE_	HOURLYRATE	TIMELIMIT	EMPTYPOLE	YOKEDPOLE	RSTRCTDAY	RSTRCTTIME	GPSTIME	IKEDIST	IKELAT	IKELONG	IKEALT	TGTLAT	TGTLONG	TGTALT	IKERAWBRG	IKEPITCH	IKEROLL	IKEMAGDEC	EPE	IKEPDOP	IKEGPSFIX	IKEIMAGE	ET_ID	SERIALNUM	CR_ID	RSTRCTDAY2	RSTRCTTIM2	STRCTLEVEL	MBSPACES	TIMELIMIT2	BATTCHGZON	BATTCNGMON
"POINT (-118.49047466288444 34.009909546574832)"	1	1	MAI1722	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904383	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49041841866186 34.009799285581103)"	2	2	MAI1726	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904403	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49039708069343 34.009743916101236)"	3	3	MAI1728	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904397	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49038070010127 34.009686381723043)"	4	4	MAI1730	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904401	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49032723483475 34.009517123709763)"	5	5	MAI1732	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904389	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49030677615093 34.009461034823893)"	6	6	MAI1734	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904402	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49028765101912 34.009403251039622)"	7	7	MAI1736	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904369	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.4902698470076 34.009351446281443)"	8	8	MAI1738	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904358	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49024882853456 34.009283495448535)"	9	9	MAI1740	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	906609	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49022759343659 34.009225316337869)"	10	10	MAI1742	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904378	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49020939086249 34.009164409481393)"	11	11	MAI1744	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904357	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49135322171017 34.011140954035596)"	12	12	OLD0201	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904212	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49130321655933 34.011181754655311)"	13	13	OLD0203	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904211	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49124706145324 34.01122646770758)"	14	14	OLD0205	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904208	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49119421814103 34.011271037435144)"	15	15	OLD0207	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904194	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49114009858631 34.011313238588201)"	16	16	OLD0209	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904271	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49109032221848 34.011355796183594)"	17	17	OLD0211	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904202	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.49103331493748 34.011399963567733)"	18	18	OLD0213	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904209	CR32	 	 	0	0	 	BZ09	SEPTEMBER
"POINT (-118.4909802708457 34.011442086347706)"	19	19	OLD0215	-232283136	0.75	2 hr	F	F	Mon - Sat	9 a.m. - 6 p.m.	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	904213	CR32	 	 	0	0	 	BZ09	SEPTEMBER
