OBJECTID,RECNUM,LATITUDE,LONGITUDE,ADDRESS,ROUTE,ROUTE_AHEA,ROUTE_BACK,LIB__CODE,LIB__CODE_,LIB__DESCR,LIB__TEXT,DAY1_RESTR,DAY2_RESTR,TIME1_REST,TIME2_REST,MEMO,REFLECTIVI,VISIBILITY,SPEED_LIMI
1,1,34.013628,-118.480718,1871,10 ST,MICHIGAN AVE,PICO BLVD,R1-STD,R1-1,STOP sign,STOP, , , , , ,Poor,Poor,0
2,2,34.013965,-118.481115,2003,10 ST,MICHIGAN AVE,PICO BLVD,W66A-1.1, ,School Xing,SCHOOL XING, , , , , ,Very Good,Very Good,0
3,3,34.014076,-118.481235,2000,10 ST,MICHIGAN AVE,PICO BLVD,W66A-1.1, ,School Xing,SCHOOL XING, , , , , ,Very Good,Very Good,0
4,4,34.011389,-118.481657,2003,LINCOLN BLVD,BAY ST,GRANT ST,R31-1.1, ,No Parking (times)/ [0] Hour Parking (times),NO PARKING [TIMES]/[0] HOUR PARKING [TIMES], ,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 5:00 AM,9:00 AM - 6:00 PM, ,Very Good,Questionable,0
5,5,34.012166,-118.4826,1907,LINCOLN BLVD,PICO BLVD,BAY ST,R62D-STD,R10-4B,Push Button For (pedestrian symbol)/Arrow,PUSH BUTTON FOR, , , , ,Right Arrow,Acceptable,Very Good,0
6,6,34.012179,-118.48334,700,PICO BLVD,07 ST,LINCOLN BLVD,AG1, ,Big Blue Bus,Big Blue Bus, , , , , ,Very Good,Very Good,0
7,7,34.009704,-118.479533,2221,LINCOLN BLVD,PACIFIC ST,PEARL ST,R62D-STD,R10-4B,Push Button For (pedestrian symbol)/Arrow,PUSH BUTTON FOR, , , , ,Left Arrow,Very Good,Very Good,0
8,8,34.009574,-118.479512,2221,LINCOLN BLVD,PACIFIC ST,PEARL ST,R34-STD,R3-4,No U Turn Symbol, , , , , , ,Acceptable,Very Good,0
9,9,34.010164,-118.480143,2207,LINCOLN BLVD,PACIFIC ST,PEARL ST,R41-1, ,Right Turn Only,RIGHT TURN ONLY, , , , , ,Very Good,Very Good,0
10,10,34.010198,-118.480193,2207,LINCOLN BLVD,PACIFIC ST,PEARL ST,AG1, ,Big Blue Bus,Big Blue Bus, , , , , ,Acceptable,Very Good,0
11,11,34.010627,-118.480726,2107,LINCOLN BLVD,GRANT ST,PACIFIC ST,R31-1.1, ,No Parking (times)/ [0] Hour Parking (times),NO PARKING [TIMES]/[0] HOUR PARKING [TIMES], ,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 5:00 AM,9:00 AM - 6:00 PM, ,Very Good,Very Good,0
12,12,34.01349,-118.480936,933,PICO BLVD,09 ST,10 ST,R2-STD,R2-1,Speed Limit [00],SPEED LIMIT [00], , , , ,35 mph,Very Good,Very Good,35
13,13,34.012587,-118.483081,1865,LINCOLN BLVD,MICHIGAN AVE,PICO BLVD,R73-3-STD, ,Left Turn Arrow/No U Turn,NO U TURN, , , , , ,Very Good,Very Good,0
14,14,34.012117,-118.482956,1900,LINCOLN BLVD,BAY ST,PICO BLVD,AG4, ,[Destination] Parking with arrow symbol,[Destination] Parking, , , , ,Right Arrow,Very Good,Very Good,0
15,15,34.012117,-118.482956,1900,LINCOLN BLVD,BAY ST,PICO BLVD,R73-3-STD, ,Left Turn Arrow/No U Turn,NO U TURN, , , , , ,Very Good,Very Good,0
16,16,34.012468,-118.482964,1865,LINCOLN BLVD,MICHIGAN AVE,PICO BLVD,R62D-STD,R10-4B,Push Button For (pedestrian symbol)/Arrow,PUSH BUTTON FOR, , , , ,Left Arrow,Very Good,Very Good,0
17,17,34.011924,-118.482738,1900,LINCOLN BLVD,BAY ST,PICO BLVD,AR31S-2, ,No Stopping Tow Away [Times] [Hours] Hour Parking [Times],No Stopping Tow Away [Times] [Hours] Hour Parking [Times], ,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 9:00 AM,4:00 PM - 6:00 PM,2 Hr/Min,Very Good,Very Good,0
18,18,34.011924,-118.482738,1900,LINCOLN BLVD,BAY ST,PICO BLVD,AR26E-9-1, ,Tow Away,Tow Away, , , , , ,Acceptable,Acceptable,0
19,19,34.012582,-118.483089,1865,LINCOLN BLVD,MICHIGAN AVE,PICO BLVD,G30D-1.1, ,end,end, , , , , ,Very Good,Very Good,0
20,20,34.012582,-118.483089,1865,LINCOLN BLVD,MICHIGAN AVE,PICO BLVD,G66-56-STD, ,Large Truck Terminal,T, , , , , ,Very Good,Very Good,0
21,21,34.013339,-118.481218,933,PICO BLVD,09 ST,10 ST,R31-1.1, ,No Parking (times)/ [0] Hour Parking (times),NO PARKING [TIMES]/[0] HOUR PARKING [TIMES], ,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 5:00 AM,9:00 AM - 6:00 PM, ,Acceptable,Very Good,0
22,22,34.012776,-118.483314,1855,LINCOLN BLVD,MICHIGAN AVE,PICO BLVD,AR31S-2, ,No Stopping Tow Away [Times] [Hours] Hour Parking [Times],No Stopping Tow Away [Times] [Hours] Hour Parking [Times],MON\TUES\WED\THURS\FRI\SAT,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 9:00 AM,9:00 AM - 4:00 PM,Other Hr/Min,Very Good,Very Good,0
23,23,34.013183,-118.481511,913,PICO BLVD,09 ST,10 ST,R7-STD,R4-7,Keep Right, , , , , , ,Poor,Poor,0
