Zone,Ordinance,Description
A,"Ord. No. 1296CCS, adopted 1/24/84","No vehicle shall be parked adjacent to any curb between the hours of 9 a.m. and 6 p.m. daily, except by permit on the following street:
1. Vicente Terrace between Ocean Avenue and Appian Way"
B,"Ord. No. 1404CCS, adopted 3/10/87","No vehicle shall be parked adjacent to any curb, except by permit on the following streets:
Bicknell Avenue, Pacific Street and Strand Street between Neilson Way and Ocean Avenue
Hollister Avenue between Neilson Way and Ocean Avenue/Barnard Way
Ocean Park Boulevard (north side only), Fraser Avenue, Hart Avenue and Wadsworth Avenue between Neilson Way and Barnard Way"
C,"Ord. No. 1310CCS, adopted 8/14/84","No vehicle shall be parked adjacent to any curb between the hours of 6 p.m. and 2 a.m. daily, except by permit on the following streets:
2nd Street and 3rd Street between Ocean Park Boulevard and the south City limits
2. Beach Street between 2nd Street and 3rd Street
3. Ashland Avenue and Marine Street between Main Street and 3rd Street
4. Hill Street between Main Street and 4th Street"
D,"Ord. No. 1371CCS, adopted 5/13/86","No vehicle shall be parked adjacent to any curb between the hours of 12 a.m. and 2 a.m. and 9 p.m. and 12 a.m. Monday - Friday, all day on Saturday and Sunday or for more than 2 hours between the hours of 9 a.m. and 6 p.m. Monday - Friday, except by permit on the following street:
Stanford Street between Wilshire Boulevard and Lipton Avenue"
E,"Ord. No. 1346CCS, adopted 11/26/85; amended by Reso. No. 9627, adopted 2/27/01","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 9 a.m. and 6 p.m. Monday - Saturday, except by permit on the following streets:
21st Place, 22nd Street, 23rd Street, 24th Street and 25th Street between San Vicente Boulevard and Carlyle Avenue
26th Street between Georgina Avenue/Brentwood Terrace and Marguerita Avenue/Baltic Street
Georgina Avenue and Carlyle Avenue between 21st Place and 25th Street"
F,"Ord. No. 1354CCS, adopted 1/14/86","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 7 a.m. and 6 p.m. daily, except by permit on the following streets:
Hill Street and Raymond Street between Lincoln Boulevard and 7th Street"
G,"Ord. No. 1359CCS, adopted 3/25/86; amended by Ord. No. 1903CCS Sec. 1, adopted 2/24/98; amended by Reso. No. 9870, adopted 6/24/03; amended by Reso No. 10398, adopted 6/9/09","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 9 a.m. and 9 p.m. Monday - Saturday, except by permit on the following streets:
Lincoln Boulevard, 9th, 10th, 11th, 12th, Euclid, 14th, 15th, 16th and 17th Streets between Idaho and Alta Avenues,
Idaho Avenue between Lincoln Boulevard and 17th Street, and
Alta Avenue (south side only) between 9th and 17th Streets"
H,"Reference:  Ord. No. 1469CCS, adopted 3/28/89; amended by Reso. No. 9642, adopted 4/10/01","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 9 a.m. and 6 p.m. daily, except by permit on the following streets:
31st, 32nd, 33rd and 34th Streets between Pearl Street and Ocean Park Boulevard
Pearl Street between 26th and 27th Streets
Pearl Street between 29th Street and Centinela Avenue

No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 9 a.m. and 6 p.m. Monday - Friday, except by permit on the following street:
1.     30th Street between Pearl Street and Ocean Park Boulevard"
I,"Ord. No. 1360CCS, adopted 3/25/86; amended by Reso. No. 9544 adopted 7/25/00","No vehicle shall be parked adjacent to any curb between the hours of 6 p.m. and 2 a.m. or for more than 2 hours between the hours of 9 a.m. and 6 p.m. daily, except by permit on the following streets:
1.     2nd and 3rd Streets between Ocean Park Boulevard and Strand Street
2.     Strand Street, Hollister Avenue and Ocean Park Boulevard between Main Street and 3rd Street
3.     Norman Place between Main Street and 2nd Street
4.     Mills Street between 2nd Street and 3rd Street"
J,"Ord. No. 1365CCS, adopted 4/22/86","No vehicle shall be parked adjacent to any curb between the hours of 7 a.m. and 7 p.m. daily, except by permit on the following street:
24th Street between Santa Monica Boulevard and Broadway"
K,"Ord. No. 1430CCS, adopted 4/11/89; amended by Ord. No. 1567CCS Sec. 1, adopted 2/26/91; amended by Reso. No. 9836, adopted 2/25/03; amended by Reso. No. 10413, adopted 6/23/09","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 9 a.m. and 8 p.m. Monday - Saturday, except by permit on the following streets:
16th Street between California and Washington Avenues
17th, 18th and 19th Streets between Wilshire Boulevard and Washington Avenue
California Avenue between 16th and 20th Streets
Washington Avenue between 17th and 20th Streets
 
No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 9 a.m. and 6 p.m. daily, and no vehicle shall be parked between the hours of 6 p.m. and 2 a.m. daily, except by permit on the following streets:
California Avenue between 14th and 16th Streets
14th, 15th and 16th Streets between Wilshire Boulevard and California Avenue"
L,"Ord. No. 1444CCS, adopted 6/14/88; amended by Ord. No. 1603CCS Sec. 1, adopted 10/8/91; amended by Ord. No. 1871CCS Sec. 1, adopted 1/14/97; amended by Reso. No. 12463, adopted 12/7/99; amended by Reso. No. 9768, adopted 6/11/02","No vehicle shall be parked adjacent to any curb between the hours of 8 a.m. and 8 p.m. Monday - Thursday, and 8 a.m. and 5 p.m. Friday, except by permit on streets included within the following named and described area:
The area bounded by Ashland Avenue between 23rd and 11th Streets on the south; 11th Street between Ashland Avenue and Ocean Park Boulevard, Ocean Park Boulevard between 11th and 10th Streets, 10th Street between Ocean Park Boulevard and the Santa Monica Freeway on the west; the Santa Monica Freeway between 10th Street and Cloverfield Boulevard on the north; Cloverfield Boulevard between the Santa Monica Freeway and Ocean Park Boulevard, Ocean Park Boulevard between Cloverfield Boulevard and 23rd Street, 23rd Street between Ocean Park Boulevard and Ashland Avenue on the east."
M,"Ord. No. 1546CCS, adopted 9/25/90","No vehicle shall be parked adjacent to any curb between the hours of 10 p.m. and 2 a.m., or for more than 2 hours between the hours of 9 a.m. and 10 p.m. daily, except by permit on the following streets:
3rd Street between Pico Boulevard and Strand Street
Bay and Pacific Streets between Neilson Way and 3rd Street
Bicknell Avenue between Neilson Way and 4th Street"
