WKT	OBJECTID	FULLNAME	ZONE	RULE	NOTE	IMPLEMENTD	ADPTDATE	AMDDATE1	AMDDATE2	AMDDATE3	STATUS	Shape_Leng	ENFORCE	Shape_Le_1
"LINESTRING (-118.49184868842039 34.007330450737257,-118.49106530831192 34.007966660232476)"	1	VICENTE TER	A	"No parking 9AM-6PM daily, except by permit."		yes	1/24/84				Implemented	331.62492828		331.62492828
"LINESTRING (-118.49189770524367 34.007290642903449,-118.49184868842039 34.007330450737257)"	2	VICENTE TER	A	"No parking 9AM-6PM daily, except by permit."		yes	1/24/84				Implemented	20.7500255535		20.7500255535
"LINESTRING (-118.48044516204517 34.008469562805438,-118.48037839169865 34.008506507538613)"	3	KENSINGTON RD	AA	"No parking 8AM-6PM daily, except by permit."		yes	6/1/93	7/3/08			Implemented	24.2954178302		24.2954178302
"LINESTRING (-118.47988713073468 34.007803961478878,-118.47981415845823 34.007845940389956)"	4	CEDAR ST	AA	"No parking 8AM-6PM daily, except by permit."		yes	6/1/93				Implemented	26.8793665937		26.8793665937
"LINESTRING (-118.47988713073468 34.007803961478878,-118.47926579187548 34.007197440524202)"	5	7TH ST	AA	"No parking 8AM-6PM daily, except by permit."		no	6/1/93				Pre-approved (petition needed)	290.139608538		290.139608538
"LINESTRING (-118.48037839169865 34.008506507538613,-118.48026832777185 34.00857092751145)"	6	KENSINGTON RD	AA	"No parking 8AM-6PM daily, except by permit."		yes	6/1/93	7/3/08			Implemented	40.7713912694		40.7713912694
"LINESTRING (-118.48026832777185 34.00857092751145,-118.47930834123076 34.009133543146376)"	7	KENSINGTON RD	AA	"No parking 8AM-6PM daily, except by permit."		yes	6/1/93	7/3/08			Implemented	355.765292578		355.765292578
"LINESTRING (-118.47926579187548 34.007197440524202,-118.47919722057031 34.007237766200873)"	8	PINE ST	AA	"No parking 8AM-6PM daily, except by permit."		no	6/1/93				Pre-approved (petition needed)	25.4414598684		25.4414598684
"LINESTRING (-118.47981415845823 34.007845940389956,-118.47859958469815 34.00855961552876)"	9	CEDAR ST	AA	"No parking 8AM-6PM daily, except by permit."		yes	6/1/93				Implemented	450.50489429		450.50489429
"LINESTRING (-118.47919722057031 34.007237766200873,-118.47790695971072 34.007999456698109)"	10	PINE ST	AA	"No parking 8AM-6PM daily, except by permit."		no	6/1/93				Pre-approved (petition needed)	479.324998748		479.324998748
"LINESTRING (-118.48045021362374 34.008367598878777,-118.47988713073468 34.007803961478878)"	11	7TH ST	AA	"No parking 8AM-6PM daily, except by permit."		no	6/1/93				Pre-approved (petition needed)	266.827433088		266.827433088
"LINESTRING (-118.48958560415041 34.005347545613731,-118.48943495204647 34.005454541441388)"	12	BICKNELL AVE	B	No parking except by permit.		yes	3/10/87				Implemented	60.0082690816		60.0082690816
"LINESTRING (-118.48880459258926 34.004573259421043,-118.48796912027569 34.00516348123125)"	13	PACIFIC ST	B	No parking except by permit.		yes	3/10/87				Implemented	332.047803429		332.047803429
"LINESTRING (-118.4887603481347 34.005937150889473,-118.4886792623463 34.005995324455647)"	14	BICKNELL AVE	B	No parking except by permit.		yes	3/10/87				Implemented	32.4367888772		32.4367888772
"LINESTRING (-118.48943495204647 34.005454541441388,-118.4887603481347 34.005937150889473)"	15	BICKNELL AVE	B	No parking except by permit.		yes	3/10/87				Implemented	269.536747391		269.536747391
"LINESTRING (-118.4875028397212 34.003289247715067,-118.48660057609253 34.003879973203354)"	16	HOLLISTER AVE	B	No parking except by permit.		yes	3/10/87				Implemented	347.848504573		347.848504573
"LINESTRING (-118.48805566634303 34.003838168911997,-118.48722462634937 34.004424787628942)"	17	STRAND ST	B	No parking except by permit.		yes	3/10/87				Implemented	330.176874992		330.176874992
"LINESTRING (-118.48573582639916 34.000993765573803,-118.48453357135959 34.001828104497335)"	18	OCEAN PARK BLVD	B	No parking except by permit.	North side only.	yes	3/10/87				Implemented	474.320176051		474.320176051
"LINESTRING (-118.48719123422543 34.002603920984626,-118.48605632289099 34.003343280745788)"	19	WADSWORTH AVE	B	No parking except by permit.		yes	3/10/87				Implemented	436.71563146		436.71563146
"LINESTRING (-118.48671782211441 34.002011622867414,-118.48554116316458 34.002830938309387)"	20	HART AVE	B	No parking except by permit.		yes	3/10/87				Implemented	464.857417288		464.857417288
"LINESTRING (-118.48625079908304 34.00151776378182,-118.48505618929282 34.002347816471243)"	21	FRASER AVE	B	No parking except by permit.		yes	3/10/87				Implemented	471.53975903		471.53975903
"LINESTRING (-118.47778107070387 34.04096328154521,-118.47619145245699 34.039607366059819)"	22	YALE ST	BB	"1 hour parking 9AM-6PM Mon-Fri, except by permit."		yes	6/1/93				Implemented	689.499856341		689.499856341
"LINESTRING (-118.47619145245699 34.039607366059819,-118.47476576919969 34.038390889651545)"	23	YALE ST	BB	"1 hour parking 9AM-6PM Mon-Fri, except by permit."		yes	6/1/93				Implemented	618.500158338		618.500158338
"LINESTRING (-118.48181291339363 34.001381663227704,-118.4810929562373 34.00066529431114)"	24	2ND ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	339.976449428		339.976449428
"LINESTRING (-118.4810929562373 34.00066529431114,-118.48049109179694 34.000066029252949)"	25	2ND ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	284.323636331		284.323636331
"LINESTRING (-118.47889557087625 33.998475686192435,-118.47850924877005 33.998087095654952)"	26	2ND ST	C									183.603525184		183.603525184
"LINESTRING (-118.48313911820969 34.002699514784609,-118.4828225048786 34.002384784738474)"	27	2ND ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	149.424085308		149.424085308
"LINESTRING (-118.4828225048786 34.002384784738474,-118.4827705044008 34.002332984998972)"	28	2ND ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	24.5716884248		24.5716884248
"LINESTRING (-118.4827705044008 34.002332984998972,-118.48192151996359 34.001489197433074)"	29	2ND ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	400.634249314		400.634249314
"LINESTRING (-118.48037761700232 33.99995285603088,-118.47947556250159 33.999054324180292)"	30	2ND ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	426.240862661		426.240862661
"LINESTRING (-118.47947556250159 33.999054324180292,-118.47941724725125 33.99899614180552)"	31	2ND ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	27.5818117298		27.5818117298
"LINESTRING (-118.47941724725125 33.99899614180552,-118.47934599905456 33.998925434361922)"	32	2ND ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	33.5932167577		33.5932167577
"LINESTRING (-118.47934599905456 33.998925434361922,-118.47900759455203 33.998588117365621)"	33	2ND ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	159.969604928		159.969604928
"LINESTRING (-118.48101590137877 34.001934835627921,-118.4802921074033 34.001221579391)"	34	3RD ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	339.857167191		339.857167191
"LINESTRING (-118.4802921074033 34.001221579391,-118.47967406291401 34.000612423491951)"	35	3RD ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	290.233947969		290.233947969
"LINESTRING (-118.47885184891693 33.999794887122761,-118.47819225266979 33.999138890727721)"	36	3RD ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	311.388185696		311.388185696
"LINESTRING (-118.47808510213929 33.999032097522516,-118.47761312600471 33.998561470167694)"	37	3RD ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	223.158072201		223.158072201
"LINESTRING (-118.4809946984779 34.002044159134364,-118.48022380701478 34.002585700558434)"	38	HILL ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	305.667947709		305.667947709
"LINESTRING (-118.48180299180324 34.001477989484705,-118.48114739285447 34.00193743800547)"	39	HILL ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	259.695911304		259.695911304
"LINESTRING (-118.48035266411914 34.000040278923784,-118.47969296438022 34.000501133215913)"	40	ASHLAND AVE	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	260.979292392		260.979292392
"LINESTRING (-118.47886698430308 33.998571813979709,-118.47821283911904 33.999031990808966)"	41	MARINE ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	259.535140815		259.535140815
"LINESTRING (-118.47953272654442 33.998134831780213,-118.47902457619429 33.998487979603205)"	42	MARINE ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	200.599738087		200.599738087
"LINESTRING (-118.47999647348121 33.998591033677137,-118.47948740668483 33.998946845727154)"	43	PIER AVE	C	"No parking 6PM-2AM Daily, except by permit"		yes	8/14/84				Implemented	201.434342356		201.434342356
"LINESTRING (-118.48100639234151 33.999607290519492,-118.48050054315851 33.999962412474133)"	44	ASHLAND AVE	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	200.524871899		200.524871899
"LINESTRING (-118.48243788468216 34.001037264806754,-118.4819276913576 34.001390160800597)"	45	HILL ST	C									201.012891202		201.012891202
"LINESTRING (-118.47963589695745 33.998062566762606,-118.47953272654442 33.998134831780213)"	46	MARINE ST	C									40.8601092566		40.8601092566
"LINESTRING (-118.47948740668483 33.998946845727154,-118.47941724725125 33.99899614180552)"	47	PIER AVE	C	"No parking 6PM-2AM Daily, except by permit"		yes	8/14/84				Implemented	27.8220696726		27.8220696726
"LINESTRING (-118.4800958052906 33.998521885713487,-118.47999647348121 33.998591033677137)"	48	PIER AVE	C									39.2395770865		39.2395770865
"LINESTRING (-118.48110956437942 33.999535024230916,-118.48100639234151 33.999607290519492)"	49	ASHLAND AVE	C									40.860361353		40.860361353
"LINESTRING (-118.48197549628014 34.00288837171621,-118.48112450656539 34.002042371460156)"	50	3RD ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	401.640712389		401.640712389
